q1,q2,q3,xe,ye,thetae
2.9,-2.95,1,4.27,7.02,54.43
1.55,-2.59,-1,0.52,-5.28,-116.88
1.08,-2.89,-1,-4.98,-2.91,-161.0
0.77,-2.47,1,9.48,-6.58,-40.11
2.04,-0.15,0,-7.56,19.54,108.29
0.12,-0.44,1,19.04,3.04,38.96
1.11,-2.34,0,7.79,-6.92,-70.47
1.73,-2.64,0,7.48,-4.14,-52.14
0.38,-1.3,1,17.72,-2.41,4.58
0.18,-2.81,0,-5.32,-5.6,-150.69
0.84,-2.98,1,3.82,-7.04,-65.32
0.69,-2.5,1,8.57,-7.41,-46.41
1.66,-0.62,0,6.46,19.05,59.59
2.87,-1.9,-1,4.21,7.44,-1.72
2.99,-1.4,0,-7.19,15.05,91.1
0.84,-1.12,1,16.66,7.89,41.25
1.45,-2.96,-1,-4.38,-4.17,-143.81
2.63,-2.89,-1,2.8,-5.04,-72.19
3.01,-2.7,1,1.53,9.82,75.06
2.42,-2.38,-1,5.75,-0.83,-55.0
0.44,-1.78,1,14.53,-6.17,-19.48
0.61,-0.04,1,11.64,14.79,89.95
0.83,-0.3,1,11.05,15.7,87.66
0.13,-2.54,-1,-5.02,-1.91,-195.38
2.36,-1.86,0,7.32,11.64,28.65
0.74,-0.63,0,19.08,6.26,6.3
2.51,-0.75,-1,-1.89,15.83,43.54
1.32,-2.67,-1,-1.65,-5.03,-134.65
0.93,-1.89,0,12.21,-5.86,-55.0
2.65,-0.95,-2,-0.39,8.18,-17.19
0.55,-0.67,2,10.79,9.49,107.72
1.21,-1.19,1,13.13,12.65,58.44
1.87,-2.48,-1,3.4,-4.32,-92.25
0.37,-2.11,-1,-1.1,-7.1,-156.99
0.98,-2.59,-1,-2.41,-4.73,-149.54
2.04,-0.57,0,-1.76,20.17,84.22
0.86,-0.45,-1,16.8,4.2,-33.8
0.44,-1.86,1,13.78,-6.79,-24.06
2.28,-2.92,1,7.61,3.6,20.63
1.38,-0.59,1,4.73,18.68,102.56
2.38,-2.74,0,8.04,-0.1,-20.63
2.93,-0.53,-1,-10.82,13.1,80.21
1.96,-2.08,1,8.75,11.03,50.42
2.93,-2.68,-1,5.06,-1.57,-42.97
2.13,-1.55,1,2.08,16.77,90.53
0.83,-0.42,1,12.26,14.87,80.79
0.52,-3.05,1,0.63,-7.54,-87.66
2.34,-1.65,1,-0.3,16.44,96.83
0.96,-1.74,0,13.97,-4.11,-44.69
0.15,-1.89,1,10.91,-10.57,-42.4
0.27,-2.08,1,9.91,-10.0,-46.41
0.35,-0.56,-1,15.89,-5.61,-69.33
1.46,-0.63,-2,8.23,5.68,-67.04
1.44,-1.17,1,9.73,15.49,72.77
1.34,-1.26,0,15.56,7.93,4.58
1.36,-1.68,0,14.75,2.44,-18.33
2.24,-3.03,-1,-0.94,-6.31,-102.56
2.78,-1.7,1,-6.66,14.76,119.18
1.28,-0.95,-1,14.12,4.63,-38.39
0.45,-0.8,1,18.45,4.88,37.24
2.29,-1.97,-1,7.48,3.07,-38.96
0.85,-2.17,1,13.0,-3.72,-18.33
1.91,-2.77,0,6.8,-4.01,-49.27
0.2,-0.16,-2,11.2,-4.81,-112.3
1.6,-2.32,1,11.79,4.32,16.04
0.13,-2.03,-1,-2.12,-7.39,-166.16
1.82,-0.81,1,-0.98,19.05,115.16
2.76,-0.37,0,-16.72,12.17,136.94
2.93,-1.31,0,-7.53,15.45,92.82
3.13,-3.11,1,3.66,6.19,58.44
0.36,-0.69,1,18.66,4.54,38.39
0.52,-0.86,-1,14.28,-5.67,-76.78
2.14,-2.73,-1,1.91,-5.0,-91.1
0.4,-2.11,-1,-0.88,-7.13,-155.27
2.61,-2.52,-1,5.23,-1.35,-52.14
3.13,-1.45,1,-14.03,10.16,153.55
0.44,-0.16,-1,18.32,0.3,-41.25
0.59,-0.13,-1,18.09,3.4,-30.94
0.19,-1.39,0,11.95,-11.73,-68.75
2.0,-0.97,0,4.29,18.37,59.01
1.73,-1.4,-1,11.0,4.83,-38.39
0.68,-1.93,0,9.86,-8.88,-71.62
0.85,-0.7,1,14.4,12.69,65.89
1.84,-0.71,1,-2.59,19.01,122.04
0.18,-0.36,1,18.55,5.12,46.98
1.66,-2.78,1,9.38,-0.17,-6.88
2.59,-0.01,-1,-11.95,14.4,90.53
3.07,-3.02,1,3.49,6.92,60.16
1.31,-0.01,1,-0.99,18.73,131.78
2.13,-0.19,-1,-2.11,18.11,53.86
0.9,-1.19,-1,13.0,-3.24,-73.91
1.15,-1.53,1,15.06,7.86,35.52
0.75,-0.64,0,19.04,6.31,6.3
1.03,-1.88,1,15.15,1.79,8.59
0.48,-1.52,0,13.3,-8.84,-59.59
0.72,-0.53,1,14.74,12.44,68.18
1.02,-2.71,1,8.23,-5.44,-39.53
1.52,-0.18,-1,8.56,16.14,19.48
2.43,-2.46,-1,5.3,-1.64,-59.01
2.27,-1.83,0,8.16,11.32,25.21
0.54,-0.94,-1,13.64,-6.03,-80.21
2.55,-0.8,1,-13.53,13.46,157.56
2.32,-3.09,1,7.07,1.85,13.18
0.38,-1.15,0,16.55,-7.15,-44.12
1.32,-1.75,1,13.99,7.64,32.66
1.18,-2.67,-1,-2.33,-4.75,-142.67
0.11,-2.36,1,4.77,-11.32,-71.62
0.17,-0.22,2,11.3,7.34,111.73
0.96,-2.71,1,7.89,-5.93,-42.97
1.9,-3.09,1,7.21,-1.2,-10.89
1.86,-1.58,-1,9.99,4.03,-41.25
1.11,-1.51,0,16.01,0.82,-22.92
3.02,-2.38,0,4.28,9.21,36.67
2.39,-0.6,-1,-1.71,16.58,45.26
2.92,-0.65,0,-15.84,12.25,130.06
2.53,-1.58,-1,5.33,9.36,-2.86
2.3,-0.68,-1,0.69,16.28,35.52
0.83,-0.39,0,17.39,11.13,25.21
0.29,-1.6,-1,3.8,-9.93,-132.35
1.24,-1.26,1,13.17,12.29,56.15
0.18,-1.09,1,18.15,-3.64,5.16
2.98,-0.88,0,-13.98,13.21,120.32
3.1,-0.74,0,-16.93,10.15,135.22
2.39,-2.68,0,8.3,0.78,-16.62
1.04,-1.52,-1,10.39,-4.17,-84.8
0.05,-1.49,0,8.82,-13.53,-82.51
0.66,-3.0,1,2.26,-7.55,-76.78
1.25,-0.62,-1,14.39,8.24,-21.2
2.74,-1.59,1,-7.42,14.98,123.19
2.27,-0.53,0,-6.86,19.16,99.69
2.14,-1.49,0,7.37,14.37,37.24
2.18,-2.62,-1,3.24,-4.18,-82.51
2.71,-1.49,-1,2.88,11.03,12.61
2.59,-2.43,0,7.86,5.9,9.17
2.77,-1.66,-1,3.55,9.58,6.3
0.2,-1.81,0,6.31,-12.6,-92.25
1.4,-2.07,1,13.3,4.82,18.91
2.6,-1.09,0,-5.15,17.58,86.52
2.33,-1.28,0,2.15,17.22,60.16
2.25,-2.79,-1,1.82,-5.15,-88.24
1.98,-0.49,1,-7.79,17.64,142.67
1.1,-0.66,-1,15.44,5.5,-32.09
1.71,-0.04,-1,3.82,18.24,38.39
0.33,-1.07,-1,10.61,-9.35,-99.69
1.66,-1.38,-1,11.37,4.29,-41.25
0.32,-0.7,-1,14.47,-7.27,-79.07
0.87,-2.68,0,1.2,-8.25,-103.71
2.57,-1.85,-1,6.1,6.47,-16.04
1.25,-1.92,-1,7.0,-4.67,-95.68
2.86,-1.27,0,-6.99,15.94,91.1
2.3,-3.08,-1,-1.14,-6.55,-101.99
1.04,-2.7,1,8.45,-5.23,-37.82
0.89,-2.1,0,9.35,-7.66,-69.33
0.73,-2.43,-2,-1.62,1.44,-211.99
1.49,-2.52,0,7.77,-5.03,-59.01
2.33,-3.11,1,6.99,1.68,12.61
3.09,-1.24,-1,-4.3,12.35,48.7
1.78,-0.58,-1,7.94,14.76,11.46
2.88,-1.14,-1,-2.77,13.43,42.4
1.28,-0.79,-1,14.29,6.58,-29.22
2.71,-2.55,-1,5.22,-1.17,-48.13
1.83,-1.2,-1,10.39,8.36,-21.2
3.05,-0.24,1,-19.08,-1.42,218.3
2.71,-0.59,-1,-6.96,15.2,64.17
2.33,-0.08,-1,-7.01,17.17,71.62
0.76,-0.54,1,14.31,12.92,69.9
2.56,-2.38,-1,5.81,-0.02,-46.98
1.4,-2.3,-1,3.28,-5.21,-108.86
2.03,-1.16,1,-0.65,18.31,107.14
1.22,-2.1,1,13.82,2.02,6.88
1.71,-1.81,-1,9.17,-0.0,-63.03
0.75,-0.38,1,13.04,14.16,78.5
0.59,-0.73,1,17.32,8.22,49.27
0.48,-1.77,1,14.86,-5.5,-16.62
0.53,-1.78,-1,3.85,-8.55,-128.92
0.87,-1.16,1,16.53,7.91,40.68
1.54,-1.74,-1,9.61,-0.92,-68.75
2.78,-0.47,1,-18.16,6.48,189.65
0.9,-0.05,0,13.59,16.0,48.7
1.22,-3.08,1,4.98,-5.44,-49.27
2.71,-1.63,0,0.24,15.28,61.88
0.06,-3.13,0,-6.98,-0.58,-175.9
0.07,-2.57,1,1.87,-10.68,-85.94
2.54,-1.88,-1,6.36,5.92,-19.48
2.38,-2.03,2,-3.41,12.21,134.65
0.08,-0.86,0,16.93,-9.29,-44.69
0.01,-2.87,0,-6.45,-3.82,-163.87
2.78,-1.05,0,-8.77,16.3,99.12
2.2,-1.02,0,1.21,18.6,67.61
2.16,-1.19,-1,7.06,11.38,-1.72
0.72,-2.44,0,3.18,-9.23,-98.55
2.5,-3.01,-1,0.93,-6.22,-86.52
0.15,-2.57,-1,-5.06,-1.65,-195.95
0.43,-0.96,1,18.64,2.55,26.93
0.69,-0.58,0,19.31,5.99,6.3
1.88,-1.0,1,0.2,18.73,107.72
0.81,-1.14,1,16.94,7.15,38.39
0.07,-2.48,0,-3.43,-8.86,-138.08
1.72,-2.0,0,12.41,3.05,-16.04
3.06,-0.41,-1,-13.7,10.85,94.54
2.61,-0.45,-2,-3.01,10.48,9.17
2.27,-2.16,0,9.41,6.89,6.3
0.12,-1.28,-1,5.86,-11.4,-123.76
2.61,-2.55,0,7.94,4.39,3.44
1.41,-1.7,1,13.14,9.47,40.68
0.46,-2.57,-1,-4.32,-3.12,-178.19
2.66,-0.71,1,-15.67,11.08,169.02
1.39,-1.57,1,12.92,10.75,46.98
1.86,-1.04,0,7.55,16.95,46.98
0.8,-2.09,1,13.52,-3.71,-16.62
1.89,-0.06,0,-5.79,20.18,104.85
2.55,-0.87,0,-7.34,17.82,96.26
1.91,-2.06,-2,0.76,-0.3,-123.19
2.81,-1.72,1,-6.85,14.56,119.75
1.11,-0.08,-1,13.71,12.48,1.72
2.89,-2.09,0,2.97,11.79,45.84
0.9,-2.86,-1,-5.19,-2.26,-169.6
1.67,-2.4,0,9.74,-2.37,-41.83
1.49,-0.98,1,7.1,17.38,86.52
2.19,-0.72,-1,2.88,15.84,26.93
2.91,-0.88,-2,-2.92,8.09,1.72
0.33,-1.94,-1,0.31,-8.27,-149.54
0.78,-0.73,0,18.96,5.62,2.86
1.42,-1.28,-1,12.55,2.59,-49.27
1.49,-0.72,0,10.62,16.72,44.12
1.96,-1.64,0,10.63,10.88,18.33
2.5,-1.56,-1,5.51,9.42,-3.44
0.17,-2.69,1,1.56,-9.88,-87.09
0.09,-0.46,-1,14.89,-8.76,-78.5
0.56,-0.69,1,17.39,8.16,49.85
1.85,-3.03,-1,-3.27,-5.48,-124.9
1.27,-2.12,0,11.31,-3.83,-48.7
0.16,-2.74,-1,-5.35,0.36,-205.12
1.95,-1.8,-1,8.95,2.29,-48.7
1.98,-2.05,1,8.38,11.54,53.29
2.8,-2.24,0,5.27,9.78,32.09
0.33,-0.23,0,20.55,3.67,5.73
3.0,-1.23,-1,-3.29,12.72,44.12
2.23,-2.33,1,7.03,10.32,51.57
0.16,-0.74,2,13.82,4.2,81.36
1.78,-1.71,1,8.89,13.48,61.31
0.47,-2.0,1,12.57,-7.36,-30.37
3.04,-2.99,1,3.51,7.13,60.16
0.71,-1.44,1,17.27,1.76,15.47
1.74,-0.22,-1,5.25,17.37,29.79
0.5,-2.49,-1,-3.63,-4.1,-171.31
2.89,-0.23,-1,-13.61,11.96,95.11
1.1,-3.1,0,-2.65,-6.49,-114.59
2.54,-0.62,0,-10.56,17.12,110.01
1.52,-1.76,2,5.84,12.2,100.84
1.64,-0.51,0,5.49,19.65,64.74
0.87,-3.06,0,-3.61,-6.05,-125.48
0.26,-1.53,0,10.91,-11.57,-72.77
0.98,-1.31,1,16.01,7.89,38.39
1.93,-2.39,1,9.82,7.04,30.94
0.47,-1.45,-1,7.35,-9.07,-113.45
1.16,-0.01,1,1.82,18.67,123.19
0.04,-2.73,1,-0.14,-9.73,-96.83
1.02,-2.49,0,5.07,-7.96,-84.22
2.76,-0.19,-1,-12.38,13.39,89.95
2.99,-1.6,1,-10.78,12.72,136.94
2.88,-1.44,-1,0.48,11.73,25.21
0.55,-2.72,0,-1.93,-7.9,-124.33
1.94,-0.01,1,-11.83,14.55,167.88
2.18,-0.53,0,-5.11,19.7,94.54
2.58,-2.34,0,7.67,7.06,13.75
0.6,-1.18,1,18.02,2.97,24.06
1.25,-0.83,-1,14.45,5.66,-33.23
0.56,-0.03,0,18.01,10.8,30.37
1.37,-3.12,-1,-6.32,-2.7,-157.56
0.73,-0.11,0,16.61,12.8,35.52
2.52,-3.1,-1,0.1,-6.76,-90.53
2.54,-2.1,1,1.48,13.88,82.51
2.5,-1.21,1,-8.28,16.18,131.21
1.85,-0.72,0,4.04,19.39,64.74
0.88,-2.92,1,4.84,-6.89,-59.59
0.41,-0.34,1,16.76,9.42,61.31
1.69,-2.42,0,9.6,-2.39,-41.83
0.16,-2.31,1,5.94,-11.13,-65.89
2.73,-0.57,1,-17.3,8.49,181.05
1.72,-2.15,-1,6.3,-2.93,-81.93
0.18,-1.22,0,13.97,-10.82,-59.59
0.34,-2.77,1,2.28,-9.17,-81.93
0.52,-0.52,1,16.86,9.37,57.3
3.08,-0.02,-1,-17.25,7.18,118.03
1.09,-2.99,-1,-5.82,-2.09,-166.16
1.95,-2.22,-1,6.23,-2.05,-72.77
0.3,-1.93,0,5.86,-11.91,-93.39
1.92,-1.94,0,11.6,6.3,-1.15
0.64,-1.63,0,13.3,-7.52,-56.72
0.67,-0.48,-1,17.19,0.6,-46.41
0.89,-2.89,0,-1.42,-7.29,-114.59
0.91,-0.5,1,11.84,15.23,80.79
2.79,-3.12,1,5.54,4.49,38.39
2.59,-1.78,1,-2.79,15.54,103.71
1.18,-1.93,0,12.91,-3.07,-42.97
1.47,-2.82,-1,-2.68,-4.85,-134.65
1.99,-1.29,0,7.86,15.41,40.11
1.53,-0.53,1,1.15,19.25,114.59
1.52,-2.41,1,11.72,2.32,6.3
2.28,-1.34,1,-2.96,17.49,111.15
2.92,-2.85,0,7.14,2.52,4.01
1.27,-0.07,1,0.49,18.87,126.05
2.79,-2.78,-1,4.27,-3.37,-56.72
1.5,-2.73,1,9.65,-1.21,-13.18
2.65,-2.6,0,7.81,4.0,2.86
0.47,-1.26,-1,9.65,-8.63,-102.56
2.91,-0.26,1,-19.1,1.5,209.13
0.16,-2.54,1,3.17,-10.59,-79.07
1.51,-2.45,1,11.54,1.75,3.44
1.63,-1.58,0,13.57,7.69,2.86
1.96,-2.49,-2,-2.35,-1.08,-144.96
2.1,-2.95,1,8.01,1.83,8.59
1.08,-1.7,0,14.69,-1.96,-35.52
1.55,-1.48,1,10.49,13.63,61.31
0.88,-3.08,1,2.88,-6.79,-68.75
2.76,-1.34,-1,0.95,12.38,24.06
2.69,-1.93,0,3.85,12.7,43.54
2.64,-2.1,-1,6.14,3.86,-26.36
0.37,-2.38,-1,-3.39,-4.72,-172.46
0.77,-1.1,0,18.27,0.34,-18.91
2.53,-0.31,0,-14.19,15.17,127.2
0.44,-1.92,-1,1.44,-8.29,-142.09
2.06,-1.37,0,7.51,15.09,39.53
1.52,-2.27,-1,4.23,-4.67,-100.27
1.4,-1.92,-2,1.57,-0.66,-144.39
3.1,-2.28,-1,4.67,4.16,-10.31
0.02,-2.98,-1,-4.67,3.99,-226.89
1.58,-0.05,0,0.51,20.99,87.66
1.04,-1.52,0,15.96,-0.43,-27.5
3.12,-1.82,0,-3.25,13.64,74.48
1.31,-1.11,0,15.53,9.54,11.46
2.36,-0.36,1,-14.81,12.28,171.89
2.32,-2.97,0,6.38,-3.35,-37.24
1.59,-0.78,0,9.52,17.14,46.41
3.02,-0.01,0,-20.83,2.69,172.46
2.46,-0.16,1,-17.01,8.53,189.08
2.32,-2.37,1,6.3,10.47,54.43
2.0,-2.21,0,10.78,3.45,-12.03
0.67,-1.42,1,17.39,1.31,14.32
0.99,-1.82,0,13.29,-4.48,-47.56
0.9,-1.95,0,11.32,-6.66,-60.16
2.71,-1.49,0,-1.55,16.08,69.9
0.06,-1.5,-1,2.55,-11.04,-139.8
0.86,-2.71,1,7.26,-6.68,-48.7
0.59,-1.86,1,14.64,-4.66,-15.47
2.69,-0.77,1,-15.52,11.17,167.3
1.75,-0.25,-1,5.39,17.23,28.65
0.51,-3.13,0,-6.03,-3.56,-150.11
1.76,-1.83,1,9.85,12.0,53.29
2.58,-0.33,-1,-8.11,15.82,71.62
0.65,-1.33,-1,10.25,-7.12,-96.26
0.06,-2.95,0,-6.57,-3.07,-165.58
2.38,-0.71,1,-12.0,14.98,152.98
0.07,-0.25,-1,16.54,-7.24,-67.61
2.32,-1.42,-1,6.55,9.91,-5.73
0.26,-1.41,1,16.55,-5.64,-8.59
0.32,-2.8,0,-4.4,-6.4,-142.09
1.61,-2.64,1,10.33,0.78,-1.72
1.14,-1.56,0,15.71,0.65,-24.06
2.73,-3.06,1,5.69,4.88,38.39
1.48,-2.8,-1,-2.4,-4.94,-132.93
0.95,-2.37,0,6.17,-8.15,-81.36
2.04,-0.75,2,-8.15,11.93,188.5
2.67,-3.09,1,6.01,4.16,33.23
1.92,-0.97,0,5.75,17.97,54.43
2.48,-0.54,1,-14.91,12.23,168.45
0.6,-0.92,1,17.87,6.15,38.96
3.09,-0.37,0,-19.76,6.09,155.84
0.82,-0.14,1,9.46,16.48,96.26
0.27,-0.71,0,19.41,-4.1,-25.21
2.54,-2.35,-1,5.93,0.21,-46.41
3.04,-1.22,1,-15.33,9.71,161.57
0.35,-0.1,-1,18.48,-0.64,-42.97
0.9,-2.76,0,0.36,-7.94,-106.57
1.66,-0.9,1,3.13,18.67,100.84
1.13,-0.67,-1,15.26,5.84,-30.94
2.56,-0.12,1,-17.89,6.31,197.1
0.57,-2.99,-1,-6.09,1.08,-195.95
2.85,-0.96,0,-11.1,15.31,108.29
2.46,-0.95,-1,1.1,14.81,29.22
2.65,-2.43,0,7.49,6.36,12.61
0.52,-1.4,1,17.48,-1.08,6.88
0.35,-1.49,0,12.42,-10.32,-65.32
2.56,-2.17,0,7.1,9.17,22.35
0.04,-0.65,0,18.47,-7.74,-34.95
2.02,-3.07,0,3.93,-5.84,-60.16
0.83,-1.93,0,11.07,-7.31,-63.03
2.94,-1.55,1,-10.71,13.07,136.94
2.26,-2.47,0,9.24,2.48,-12.03
1.37,-2.29,-1,3.24,-5.29,-110.01
0.64,-2.59,-1,-3.85,-3.66,-169.02
0.27,-0.47,-1,16.14,-6.05,-68.75
2.01,-3.03,1,7.69,0.23,-1.15
1.51,-1.61,0,14.36,5.59,-5.73
1.33,-1.04,1,10.32,15.53,73.91
1.32,-2.53,0,6.68,-6.32,-69.33
1.7,-2.72,1,9.76,0.84,-1.15
0.12,-0.77,0,18.09,-7.63,-37.24
2.5,-0.94,1,-11.38,15.03,146.68
2.51,-2.81,-1,2.91,-4.68,-74.48
2.74,-0.84,1,-15.5,11.04,166.16
1.28,-2.74,1,9.05,-3.36,-26.36
2.4,-2.66,-1,3.74,-3.74,-72.19
1.42,-0.94,1,7.9,17.12,84.8
2.55,-2.73,0,7.96,1.4,-10.31
1.18,-2.38,1,12.06,-1.44,-11.46
2.35,-2.56,-1,4.4,-3.03,-69.33
1.21,-1.12,0,16.41,7.81,5.16
1.65,-2.61,0,7.48,-4.49,-55.0
2.8,-1.07,0,-8.82,16.17,99.12
1.27,-0.98,1,10.72,15.41,73.91
2.59,-0.86,1,-13.49,13.38,156.42
2.66,-0.49,1,-17.15,8.82,181.63
0.08,-0.93,-1,9.67,-11.43,-106.0
2.36,-2.49,-1,4.96,-2.31,-64.74
1.36,-1.41,0,15.45,6.15,-2.86
1.74,-1.74,-1,9.6,1.01,-57.3
0.4,-2.67,0,-2.56,-7.99,-130.06
2.77,-1.97,1,-3.24,14.38,103.13
0.4,-0.08,0,19.74,7.13,18.33
1.45,-2.34,0,9.66,-3.93,-50.99
0.94,-0.46,1,10.97,15.86,84.8
2.68,-2.66,0,7.73,3.4,1.15
1.33,-2.61,0,5.68,-6.61,-73.34
3.0,-0.98,-2,-2.97,7.43,1.15
1.33,-1.09,1,10.74,15.08,71.05
1.17,-2.74,1,8.63,-4.33,-32.66
2.37,-2.41,-1,5.52,-1.44,-59.59
0.55,-3.02,0,-4.99,-5.05,-141.52
1.99,-1.8,1,6.63,14.21,68.18
1.26,-0.23,-1,12.74,12.88,1.72
0.42,-1.02,0,17.95,-5.05,-34.38
1.27,-0.94,1,10.37,15.75,76.2
0.01,-2.08,0,0.3,-12.22,-118.6
1.89,-0.35,1,-7.75,17.6,145.53
2.35,-1.34,0,2.53,16.84,57.87
1.96,-1.4,1,3.35,17.19,89.38
1.0,-0.79,0,17.47,8.81,12.03
2.53,-2.44,2,-2.23,10.73,119.75
2.32,-0.22,1,-15.3,11.46,177.62
1.76,-1.31,0,11.29,12.96,25.78
2.74,-0.93,1,-14.72,11.82,161.0
2.04,-0.81,-1,5.99,14.44,13.18
2.91,-1.87,1,-6.43,13.89,116.88
2.47,-2.72,1,6.42,7.4,42.97
2.54,-3.13,-1,-0.09,-6.93,-91.1
0.02,-1.55,-2,0.81,-4.2,-202.25
2.89,-2.62,1,2.04,10.3,72.77
0.92,-3.1,1,2.9,-6.64,-67.61
1.0,-0.76,1,12.86,14.17,71.05
2.46,-2.82,-1,2.58,-4.9,-77.92
0.59,-1.92,-1,2.67,-7.98,-133.5
2.66,-1.1,0,-6.05,17.24,89.38
2.26,-2.71,0,8.15,-0.69,-25.78
2.28,-1.78,0,7.73,12.02,28.65
2.17,-0.42,0,-6.44,19.56,100.27
3.07,-0.84,2,-14.52,-0.17,242.36
2.63,-2.73,-2,-2.67,-3.31,-120.32
0.14,-0.15,1,17.77,6.76,56.72
0.03,-1.7,-1,0.07,-9.94,-152.98
0.51,-1.76,0,10.52,-9.87,-71.62
2.45,-1.53,-1,5.83,9.47,-4.58
0.56,-1.23,-1,10.72,-7.59,-95.68
1.38,-1.49,-1,11.4,-0.17,-63.6
2.27,-0.52,1,-12.22,14.92,157.56
1.71,-1.14,1,4.93,17.71,89.95
1.49,-2.01,0,12.71,0.02,-29.79
2.46,-1.13,1,-8.59,16.29,133.5
1.1,-0.9,-1,14.91,2.61,-45.84
2.17,-1.93,-1,7.93,2.62,-43.54
1.6,-1.82,0,13.46,3.94,-12.61
0.89,-2.81,0,-0.38,-7.72,-110.01
1.96,-1.48,-1,9.63,6.23,-29.79
1.35,-2.6,0,5.95,-6.46,-71.62
1.08,-1.78,1,15.34,3.73,17.19
1.21,-2.18,-1,3.71,-5.67,-112.87
2.49,-0.8,-1,-1.0,15.65,39.53
0.81,-1.1,1,16.84,7.63,40.68
0.41,-1.5,1,16.63,-4.05,-5.16
1.7,-2.39,1,11.16,4.62,17.76
0.32,-0.57,-1,15.63,-6.17,-71.62
0.67,-1.51,1,17.07,0.25,9.17
1.39,-2.18,0,11.11,-3.06,-45.26
0.76,-0.29,1,12.02,14.96,84.22
2.55,-0.99,1,-11.58,14.75,146.68
0.22,-2.24,0,0.75,-11.08,-115.74
0.74,-1.09,-1,13.28,-4.51,-77.35
2.9,-1.9,-1,3.99,7.57,0.0
0.73,-1.88,1,15.0,-2.77,-8.59
2.41,-0.96,1,-9.76,16.09,140.37
0.9,-2.75,1,7.04,-6.5,-48.7
2.76,-2.34,-1,5.75,1.62,-33.23
1.69,-1.72,-1,9.77,0.74,-59.01
2.46,-2.7,-1,3.64,-3.87,-71.05
3.07,-1.39,-1,-2.3,11.86,38.96
0.45,-2.6,0,-1.36,-8.67,-123.19
1.52,-0.82,-1,12.4,9.43,-17.19
1.21,-1.5,1,14.49,9.11,40.68
2.4,-0.31,1,-15.63,11.17,177.04
1.63,-0.84,0,9.44,16.93,45.26
0.63,-3.14,-1,-6.52,2.51,-201.11
2.22,-1.2,-1,6.43,11.68,1.15
2.45,-0.34,-1,-5.87,16.74,63.6
1.75,-0.72,0,5.96,18.89,59.01
0.44,-1.73,1,14.98,-5.75,-16.62
1.59,-2.4,1,11.57,3.25,10.89
2.15,-3.0,0,5.41,-4.66,-48.7
2.85,-1.38,0,-5.3,15.94,84.22
0.75,-2.21,-1,0.46,-6.6,-140.95
1.11,-0.95,-1,14.7,2.17,-48.13
3.11,-2.97,-1,4.5,-4.11,-49.27
0.64,-0.34,0,18.99,8.32,17.19
0.74,-0.99,-1,14.16,-3.65,-71.62
1.5,-0.35,1,-0.48,19.23,123.19
1.12,-0.66,1,10.1,16.37,83.65
1.77,-0.69,1,-1.5,19.15,119.18
2.56,-1.54,-1,4.81,9.95,1.15
3.03,-2.76,0,6.54,4.51,15.47
2.26,-1.09,1,-5.67,17.63,124.33
1.76,-1.83,0,12.65,5.9,-4.01
1.54,-2.54,1,11.0,1.11,-0.0
2.19,-2.55,-1,3.95,-3.61,-77.92
1.84,-2.56,1,10.13,4.07,16.04
1.14,-1.33,-1,12.4,-1.46,-68.18
2.69,-0.45,-1,-8.37,15.17,71.05
0.3,-0.27,0,20.68,2.49,1.72
2.96,-3.04,0,7.07,0.15,-4.58
2.07,-1.28,0,6.5,16.09,45.26
0.01,-3.12,0,-6.99,-0.37,-178.19
2.98,-2.82,-1,4.67,-2.97,-48.13
0.67,-1.92,1,14.48,-4.03,-14.32
0.52,-1.84,0,9.55,-10.08,-75.63
0.41,-2.44,1,6.92,-9.49,-59.01
2.65,-3.05,-1,1.47,-6.32,-80.21
0.41,-0.96,-1,12.53,-7.87,-88.81
0.54,-1.16,1,18.2,2.13,21.77
0.6,-2.35,1,9.65,-7.71,-42.97
1.61,-2.37,-1,3.48,-4.7,-100.84
1.61,-2.25,-1,4.86,-4.17,-93.97
2.71,-2.6,0,7.56,4.47,6.3
1.76,-2.73,-1,-0.08,-5.35,-112.87
0.81,-0.92,1,16.19,9.74,50.99
0.67,-2.25,-1,-0.5,-6.38,-147.82
0.69,-0.53,-1,16.98,0.36,-48.13
2.41,-1.99,2,-4.07,12.15,138.66
1.87,-3.02,1,7.72,-0.75,-8.59
1.59,-2.05,0,12.41,0.78,-26.36
2.05,-1.84,1,6.09,14.22,69.33
2.68,-2.91,1,5.57,6.39,44.12
0.69,-1.77,-1,5.29,-7.83,-119.18
1.32,-2.1,-1,5.26,-4.99,-101.99
0.12,-0.84,2,14.22,2.93,73.34
1.66,-2.93,1,8.2,-1.58,-15.47
3.11,-1.95,1,-8.09,12.46,123.76
0.13,-0.5,-1,14.86,-8.48,-78.5
3.1,-1.59,0,-6.14,14.27,86.52
1.9,-0.73,-1,7.37,14.25,9.74
1.2,-1.73,-1,8.86,-4.01,-87.66
2.17,-2.23,0,10.03,4.94,-3.44
1.02,-2.7,1,8.34,-5.4,-38.96
1.96,-1.38,1,3.13,17.31,90.53
1.45,-0.68,1,4.48,18.68,101.41
0.55,-0.39,1,15.67,11.19,66.46
2.52,-1.74,1,-2.17,15.85,101.99
2.46,-1.53,1,-3.71,16.57,110.58
1.23,-2.56,1,10.63,-2.47,-18.91
2.69,-0.82,1,-15.11,11.62,164.44
1.86,-2.98,1,8.0,-0.43,-6.88
1.36,-2.28,1,12.68,1.84,4.58
